အင်္ဂလိပ်,Myanmar,REMARK
-,- ,
-A-,(ခ) ,
.,,
(AKA),(ခ) ,
@,(ခ) ,
0,၀,
1,၁,
2,၂,
3,၃,
4,၄,
5,၅,
6,၆,
7,၇,
8,၈,
9,၉,
A,အေ,
AA,အေ,
AAE,အဲ့,mmaws
AAIB,အေအေအိုင်ဘီ,
AAJALARSEN,အာဂျာလားဆန်း,
AAJIS,အဂျစ်,
AAKARI,ဧကရီ,
AAL,အဲလ်,mmaws
AALIYAH,အေးလီယက်,
AAM,အမ်,
AAMIR,အာမီရာ,
AAN,အဲန်း,mmaws
AANANDKUMAR,အေနတ်ကူးမား,
AANT,အံ့,mmaws
AARON,အေရွန်,
AARONSOHN,အေရွန်ဆွန်း,
ABADU,အဗဒူ,
ABADUPARTAUNG,အဘဒူပါတောင်,
ABAN,အဘန်း,
ABBESHALL,အဘတ်ရှယ်လ်,
ABDOOL,အက်ဒူး,
ABDUL,အဒူ,
ABDULAR,အဒူလာ,
ABDULJAPAR,အဒူလာဂျပါး,
ABDURRAHIM,အဘူဒရာဟင်,
ABEAL,အေဘယ်လ်,
ABEL,အေဘယ်လ်,
ABELSAI,အေဘယ်လ်စိုင်း,
ABHINAV,အဘီနပ်,
ABI,အဘီ,
ABLE,အေဘယ်လ်,
ABU,အဘူ,
ABULAR,အဒူလာ,
ACCHARIYA,အက်ချာရိယ,
ACHALAR,အက််ချာလာ,
ACHARIYA,အက်ချာရိယ,
ACINNA,အဆင်နာ,
ADAM,အဒမ်,
ADDY,အက်ဒီ,
ADIN,အက်ဒင်,
ADU,အဒူ,
AE,အဲလ်,
AE`,အေး,
AEA,အ,
AEH,အဲမ်,mmaws
AEI,အေး,
AEIK,အိုက်,
AEIN,အိမ်,
AEINDA,အိန္ဒြာ,
AEINDAKA,ဣန္ဒက,
AEINDAR,အိန္တာ,mmaws
AEINDRA,အိန္ဒြာ,
AEINDRAY,အိန္ဒြေ,
AEINDU,အိန္ဓု,mmaws
AEINDYA,အိန္ဒြ,mmaws
AEINKHA,အိင်္ခ,mmaws
AEINMAR,အိန္မာ,mmaws
AEINN,အိဏ်း,mmaws
AEINNI,အိန္နီ,mmaws
AEINT,အိမ့်,
AEINVAR,အိမ္ဗာ,mmaws
AEL,အဲ,
AENT,အံ့,
AET,အက်,
AFZAL,အက်ဖ်ဇဲလ်,
AG,အောင်,
AGA,အဂ္ဂ,
AGD,အေဂျီဒီ,
AGGA,အဂ္ဂ,
AGGADHAMMA,အဂ္ဂဓမ္မ,
AGGAR,အဂ္ဂါ,
AGOSTINO,အဂို့စ်တီနို,
AH,အ,
AHAI,အိုင်း,Byee-Thara
AHAIK,အိုက်,Byee-Thara
AHAIKE,အိုက်,Byee-Thara
AHAIN,အိန်,Byee-Thara
AHAINE,အိုင်,Byee-Thara
AHAING,အိုင်,Byee-Thara
AHAINMAR,အဟိမ္မာ,
AHAM,အမ်,Byee-Thara
AHAN,အန်,Byee-Thara
AHANN,အန်း,Byee-Thara
AHANT,အန့်,Byee-Thara
AHAR,အာ,Byee-Thara
AHAT,အက်,Byee-Thara
AHAUK,အောက်,Byee-Thara
AHAW,အော,Byee-Thara
AHAY,အေ,Byee-Thara
AHCHAN,အားချန်,
AHCHIT,အချစ်,
AHE,အီ,Byee-Thara
AHE`,အဟဲ,
AHEE,အီး,Byee-Thara
AHEIK,အိတ်,Byee-Thara
AHEIN,အိန်း,Byee-Thara
AHEINT,အိမ့်,Byee-Thara
AHET,အက်,Byee-Thara
AHGA,အဂ္ဂ,
AHI,အိ,Byee-Thara
AHIK,အိုက်,
AHIKE,အိုက်,
AHIN,အင်,Byee-Thara
AHINE,အိုင်,Byee-Thara
AHINN,အင်း,Byee-Thara
AHINT,အင့်,Byee-Thara
AHIT,အစ်,Byee-Thara
AHJAE,အဂျေး,
AHJAY,အဂျေး,
AHJE,အဂျေး,
AHKAR,အာကာ,
AHKHA,အက္ခ,mmaws
AHLAING,အှိုင်,Byee-Thara
AHLAN,အလန်,
AHLAY,အလေး,
AHMAN,အမန်,
AHMAR,အမာ,
AHMED,အာမက်,
AHMEE,အာမီး,
AHNAN,အနန်း,
AHNAP,အာနက်,
AHNAR,အာနား,
AHNARWAR,အဏ္ဏဝါ,
AHNEE,အနီး,
AHNI,အနီ,
AHNIL,အနီး,
AHNT,အံ့,
AHO,အို,Byee-Thara
AHOE,အိုး,Byee-Thara
AHOH,အို့,Byee-Thara
AHOHT,အို့,Byee-Thara
AHOKE,အုတ်,Byee-Thara
AHON,အွန်,Byee-Thara
AHONE,အုန်,Byee-Thara
AHONT,အွန့်,Byee-Thara
AHOO,အူး,Byee-Thara
AHPUNG,အားဖောင်,
AHPYU,အဖူး,
AHR,အာ,
AHRAY,အာရေး,
AHRSEINNA,အာစိန်န,
AHSAH,အာဆချ်,
AHSAR,အာဆာ,
AHSE,အက်ရှီ,
AHSI,အာစီ,
AHSIE,အာစီ,
AHSIT,အာဆစ်,
AHSOE,အာစိုး,
AHTA,အတာ,
AHTAR,အတာ,
AHTER,အတာ,
AHTHWE,အသွယ်,
AHU,အု,Byee-Thara
AHUN,အွန်,Byee-Thara
AHUNN,အွန်း,Byee-Thara
AHUU,အူး,Byee-Thara
AHWA,အွ,Byee-Thara
AHWAN,အွမ်,Byee-Thara
AHWE,အွေ,Byee-Thara
AHY,အိုင်,Byee-Thara
AHYA,အ,Byee-Thara
AHYAR,အားယာ,
AHYAW,အြော်,Byee-Thara
AHYAWE,အွယ်,Byee-Thara
AHYAWT,အော့,Byee-Thara
AHYAY,အေ,Byee-Thara
AHYE,အေး,Byee-Thara
